session_id,scenario_group,split,planned_label,service,mode,is_genai,profile,status,date,packet_file,ready_time,duration,provenance,device_id,app_version,capture_drops
g04-c2-p2,scenario-04,train,ai_b_voice,Service B,voice,1,lossy,planned,,,,60,real,,,
g06-c2-p1,scenario-06,train,ai_b_voice,Service B,voice,1,constrained,planned,,,,60,real,,,
g06-c3-p1,scenario-06,train,ai_b_video,Service B,video,1,constrained,planned,,,,60,real,,,
g08-c3-p2,scenario-08,train,ai_b_video,Service B,video,1,lossy,planned,,,,60,real,,,
g07-c5-p0,scenario-07,train,conventional_video,Conventional,video,0,good,planned,,,,60,real,,,
g00-c0-p0,scenario-00,train,ai_a_voice,Service A,voice,1,good,planned,,,,60,real,,,
g07-c0-p0,scenario-07,train,ai_a_voice,Service A,voice,1,good,planned,,,,60,real,,,
g10-c0-p2,scenario-10,train,ai_a_voice,Service A,voice,1,lossy,planned,,,,60,real,,,
g10-c2-p1,scenario-10,train,ai_b_voice,Service B,voice,1,constrained,planned,,,,60,real,,,
g11-c1-p1,scenario-11,train,ai_a_video,Service A,video,1,constrained,planned,,,,60,real,,,
g03-c4-p2,scenario-03,train,conventional_voice,Conventional,voice,0,lossy,planned,,,,60,real,,,
g10-c5-p0,scenario-10,train,conventional_video,Conventional,video,0,good,planned,,,,60,real,,,
g02-c2-p2,scenario-02,train,ai_b_voice,Service B,voice,1,lossy,planned,,,,60,real,,,
g03-c5-p1,scenario-03,train,conventional_video,Conventional,video,0,constrained,planned,,,,60,real,,,
g11-c5-p1,scenario-11,train,conventional_video,Conventional,video,0,constrained,planned,,,,60,real,,,
g10-c1-p1,scenario-10,train,ai_a_video,Service A,video,1,constrained,planned,,,,60,real,,,
g02-c2-p0,scenario-02,train,ai_b_voice,Service B,voice,1,good,planned,,,,60,real,,,
g05-c5-p0,scenario-05,train,conventional_video,Conventional,video,0,good,planned,,,,60,real,,,
g06-c0-p1,scenario-06,train,ai_a_voice,Service A,voice,1,constrained,planned,,,,60,real,,,
g04-c1-p1,scenario-04,train,ai_a_video,Service A,video,1,constrained,planned,,,,60,real,,,
g11-c0-p1,scenario-11,train,ai_a_voice,Service A,voice,1,constrained,planned,,,,60,real,,,
g07-c2-p0,scenario-07,train,ai_b_voice,Service B,voice,1,good,planned,,,,60,real,,,
g11-c5-p2,scenario-11,train,conventional_video,Conventional,video,0,lossy,planned,,,,60,real,,,
g06-c2-p0,scenario-06,train,ai_b_voice,Service B,voice,1,good,planned,,,,60,real,,,
g10-c1-p0,scenario-10,train,ai_a_video,Service A,video,1,good,planned,,,,60,real,,,
g00-c2-p2,scenario-00,train,ai_b_voice,Service B,voice,1,lossy,planned,,,,60,real,,,
g07-c1-p0,scenario-07,train,ai_a_video,Service A,video,1,good,planned,,,,60,real,,,
g03-c1-p0,scenario-03,train,ai_a_video,Service A,video,1,good,planned,,,,60,real,,,
g03-c4-p1,scenario-03,train,conventional_voice,Conventional,voice,0,constrained,planned,,,,60,real,,,
g09-c3-p2,scenario-09,train,ai_b_video,Service B,video,1,lossy,planned,,,,60,real,,,
g08-c5-p0,scenario-08,train,conventional_video,Conventional,video,0,good,planned,,,,60,real,,,
g04-c5-p1,scenario-04,train,conventional_video,Conventional,video,0,constrained,planned,,,,60,real,,,
g07-c5-p2,scenario-07,train,conventional_video,Conventional,video,0,lossy,planned,,,,60,real,,,
g05-c3-p2,scenario-05,train,ai_b_video,Service B,video,1,lossy,planned,,,,60,real,,,
g08-c5-p1,scenario-08,train,conventional_video,Conventional,video,0,constrained,planned,,,,60,real,,,
g00-c3-p1,scenario-00,train,ai_b_video,Service B,video,1,constrained,planned,,,,60,real,,,
g01-c3-p0,scenario-01,train,ai_b_video,Service B,video,1,good,planned,,,,60,real,,,
g11-c3-p2,scenario-11,train,ai_b_video,Service B,video,1,lossy,planned,,,,60,real,,,
g10-c2-p0,scenario-10,train,ai_b_voice,Service B,voice,1,good,planned,,,,60,real,,,
g04-c4-p0,scenario-04,train,conventional_voice,Conventional,voice,0,good,planned,,,,60,real,,,
g10-c1-p2,scenario-10,train,ai_a_video,Service A,video,1,lossy,planned,,,,60,real,,,
g08-c1-p1,scenario-08,train,ai_a_video,Service A,video,1,constrained,planned,,,,60,real,,,
g01-c3-p2,scenario-01,train,ai_b_video,Service B,video,1,lossy,planned,,,,60,real,,,
g00-c4-p2,scenario-00,train,conventional_voice,Conventional,voice,0,lossy,planned,,,,60,real,,,
g05-c1-p1,scenario-05,train,ai_a_video,Service A,video,1,constrained,planned,,,,60,real,,,
g06-c3-p2,scenario-06,train,ai_b_video,Service B,video,1,lossy,planned,,,,60,real,,,
g06-c0-p0,scenario-06,train,ai_a_voice,Service A,voice,1,good,planned,,,,60,real,,,
g02-c2-p1,scenario-02,train,ai_b_voice,Service B,voice,1,constrained,planned,,,,60,real,,,
g08-c2-p0,scenario-08,train,ai_b_voice,Service B,voice,1,good,planned,,,,60,real,,,
g01-c1-p0,scenario-01,train,ai_a_video,Service A,video,1,good,planned,,,,60,real,,,
g00-c2-p0,scenario-00,train,ai_b_voice,Service B,voice,1,good,planned,,,,60,real,,,
g07-c1-p2,scenario-07,train,ai_a_video,Service A,video,1,lossy,planned,,,,60,real,,,
g00-c0-p1,scenario-00,train,ai_a_voice,Service A,voice,1,constrained,planned,,,,60,real,,,
g01-c0-p0,scenario-01,train,ai_a_voice,Service A,voice,1,good,planned,,,,60,real,,,
g03-c3-p1,scenario-03,train,ai_b_video,Service B,video,1,constrained,planned,,,,60,real,,,
g02-c0-p0,scenario-02,train,ai_a_voice,Service A,voice,1,good,planned,,,,60,real,,,
g05-c5-p1,scenario-05,train,conventional_video,Conventional,video,0,constrained,planned,,,,60,real,,,
g03-c1-p1,scenario-03,train,ai_a_video,Service A,video,1,constrained,planned,,,,60,real,,,
g09-c0-p2,scenario-09,train,ai_a_voice,Service A,voice,1,lossy,planned,,,,60,real,,,
g06-c5-p0,scenario-06,train,conventional_video,Conventional,video,0,good,planned,,,,60,real,,,
g11-c2-p0,scenario-11,train,ai_b_voice,Service B,voice,1,good,planned,,,,60,real,,,
g11-c2-p2,scenario-11,train,ai_b_voice,Service B,voice,1,lossy,planned,,,,60,real,,,
g04-c4-p2,scenario-04,train,conventional_voice,Conventional,voice,0,lossy,planned,,,,60,real,,,
g03-c3-p2,scenario-03,train,ai_b_video,Service B,video,1,lossy,planned,,,,60,real,,,
g05-c3-p1,scenario-05,train,ai_b_video,Service B,video,1,constrained,planned,,,,60,real,,,
g02-c3-p1,scenario-02,train,ai_b_video,Service B,video,1,constrained,planned,,,,60,real,,,
g04-c3-p0,scenario-04,train,ai_b_video,Service B,video,1,good,planned,,,,60,real,,,
g08-c0-p1,scenario-08,train,ai_a_voice,Service A,voice,1,constrained,planned,,,,60,real,,,
g09-c3-p1,scenario-09,train,ai_b_video,Service B,video,1,constrained,planned,,,,60,real,,,
g04-c2-p0,scenario-04,train,ai_b_voice,Service B,voice,1,good,planned,,,,60,real,,,
g00-c0-p2,scenario-00,train,ai_a_voice,Service A,voice,1,lossy,planned,,,,60,real,,,
g02-c0-p1,scenario-02,train,ai_a_voice,Service A,voice,1,constrained,planned,,,,60,real,,,
g08-c3-p1,scenario-08,train,ai_b_video,Service B,video,1,constrained,planned,,,,60,real,,,
g02-c3-p0,scenario-02,train,ai_b_video,Service B,video,1,good,planned,,,,60,real,,,
g08-c4-p1,scenario-08,train,conventional_voice,Conventional,voice,0,constrained,planned,,,,60,real,,,
g08-c0-p2,scenario-08,train,ai_a_voice,Service A,voice,1,lossy,planned,,,,60,real,,,
g03-c3-p0,scenario-03,train,ai_b_video,Service B,video,1,good,planned,,,,60,real,,,
g07-c3-p0,scenario-07,train,ai_b_video,Service B,video,1,good,planned,,,,60,real,,,
g11-c4-p2,scenario-11,train,conventional_voice,Conventional,voice,0,lossy,planned,,,,60,real,,,
g11-c3-p0,scenario-11,train,ai_b_video,Service B,video,1,good,planned,,,,60,real,,,
g05-c2-p0,scenario-05,train,ai_b_voice,Service B,voice,1,good,planned,,,,60,real,,,
g01-c5-p1,scenario-01,train,conventional_video,Conventional,video,0,constrained,planned,,,,60,real,,,
g10-c4-p2,scenario-10,train,conventional_voice,Conventional,voice,0,lossy,planned,,,,60,real,,,
g08-c2-p1,scenario-08,train,ai_b_voice,Service B,voice,1,constrained,planned,,,,60,real,,,
g07-c2-p2,scenario-07,train,ai_b_voice,Service B,voice,1,lossy,planned,,,,60,real,,,
g09-c0-p1,scenario-09,train,ai_a_voice,Service A,voice,1,constrained,planned,,,,60,real,,,
g08-c2-p2,scenario-08,train,ai_b_voice,Service B,voice,1,lossy,planned,,,,60,real,,,
g01-c1-p2,scenario-01,train,ai_a_video,Service A,video,1,lossy,planned,,,,60,real,,,
g11-c0-p0,scenario-11,train,ai_a_voice,Service A,voice,1,good,planned,,,,60,real,,,
g11-c5-p0,scenario-11,train,conventional_video,Conventional,video,0,good,planned,,,,60,real,,,
g09-c5-p0,scenario-09,train,conventional_video,Conventional,video,0,good,planned,,,,60,real,,,
g07-c2-p1,scenario-07,train,ai_b_voice,Service B,voice,1,constrained,planned,,,,60,real,,,
g04-c0-p2,scenario-04,train,ai_a_voice,Service A,voice,1,lossy,planned,,,,60,real,,,
g02-c5-p0,scenario-02,train,conventional_video,Conventional,video,0,good,planned,,,,60,real,,,
g08-c5-p2,scenario-08,train,conventional_video,Conventional,video,0,lossy,planned,,,,60,real,,,
g05-c2-p1,scenario-05,train,ai_b_voice,Service B,voice,1,constrained,planned,,,,60,real,,,
g03-c5-p2,scenario-03,train,conventional_video,Conventional,video,0,lossy,planned,,,,60,real,,,
g10-c3-p0,scenario-10,train,ai_b_video,Service B,video,1,good,planned,,,,60,real,,,
g03-c4-p0,scenario-03,train,conventional_voice,Conventional,voice,0,good,planned,,,,60,real,,,
g05-c4-p1,scenario-05,train,conventional_voice,Conventional,voice,0,constrained,planned,,,,60,real,,,
g06-c4-p0,scenario-06,train,conventional_voice,Conventional,voice,0,good,planned,,,,60,real,,,
g07-c4-p1,scenario-07,train,conventional_voice,Conventional,voice,0,constrained,planned,,,,60,real,,,
g09-c5-p1,scenario-09,train,conventional_video,Conventional,video,0,constrained,planned,,,,60,real,,,
g08-c3-p0,scenario-08,train,ai_b_video,Service B,video,1,good,planned,,,,60,real,,,
g06-c4-p1,scenario-06,train,conventional_voice,Conventional,voice,0,constrained,planned,,,,60,real,,,
g07-c1-p1,scenario-07,train,ai_a_video,Service A,video,1,constrained,planned,,,,60,real,,,
g10-c3-p2,scenario-10,train,ai_b_video,Service B,video,1,lossy,planned,,,,60,real,,,
g04-c0-p0,scenario-04,train,ai_a_voice,Service A,voice,1,good,planned,,,,60,real,,,
g03-c5-p0,scenario-03,train,conventional_video,Conventional,video,0,good,planned,,,,60,real,,,
g07-c0-p2,scenario-07,train,ai_a_voice,Service A,voice,1,lossy,planned,,,,60,real,,,
g04-c1-p0,scenario-04,train,ai_a_video,Service A,video,1,good,planned,,,,60,real,,,
g00-c1-p0,scenario-00,train,ai_a_video,Service A,video,1,good,planned,,,,60,real,,,
g07-c3-p1,scenario-07,train,ai_b_video,Service B,video,1,constrained,planned,,,,60,real,,,
g05-c3-p0,scenario-05,train,ai_b_video,Service B,video,1,good,planned,,,,60,real,,,
g02-c1-p2,scenario-02,train,ai_a_video,Service A,video,1,lossy,planned,,,,60,real,,,
g01-c2-p1,scenario-01,train,ai_b_voice,Service B,voice,1,constrained,planned,,,,60,real,,,
g08-c1-p2,scenario-08,train,ai_a_video,Service A,video,1,lossy,planned,,,,60,real,,,
g03-c0-p1,scenario-03,train,ai_a_voice,Service A,voice,1,constrained,planned,,,,60,real,,,
g05-c2-p2,scenario-05,train,ai_b_voice,Service B,voice,1,lossy,planned,,,,60,real,,,
g06-c1-p2,scenario-06,train,ai_a_video,Service A,video,1,lossy,planned,,,,60,real,,,
g02-c5-p2,scenario-02,train,conventional_video,Conventional,video,0,lossy,planned,,,,60,real,,,
g08-c0-p0,scenario-08,train,ai_a_voice,Service A,voice,1,good,planned,,,,60,real,,,
g00-c4-p0,scenario-00,train,conventional_voice,Conventional,voice,0,good,planned,,,,60,real,,,
g01-c4-p2,scenario-01,train,conventional_voice,Conventional,voice,0,lossy,planned,,,,60,real,,,
g02-c0-p2,scenario-02,train,ai_a_voice,Service A,voice,1,lossy,planned,,,,60,real,,,
g02-c5-p1,scenario-02,train,conventional_video,Conventional,video,0,constrained,planned,,,,60,real,,,
g01-c2-p2,scenario-01,train,ai_b_voice,Service B,voice,1,lossy,planned,,,,60,real,,,
g09-c2-p1,scenario-09,train,ai_b_voice,Service B,voice,1,constrained,planned,,,,60,real,,,
g06-c3-p0,scenario-06,train,ai_b_video,Service B,video,1,good,planned,,,,60,real,,,
g05-c4-p2,scenario-05,train,conventional_voice,Conventional,voice,0,lossy,planned,,,,60,real,,,
g09-c2-p0,scenario-09,train,ai_b_voice,Service B,voice,1,good,planned,,,,60,real,,,
g09-c5-p2,scenario-09,train,conventional_video,Conventional,video,0,lossy,planned,,,,60,real,,,
g09-c0-p0,scenario-09,train,ai_a_voice,Service A,voice,1,good,planned,,,,60,real,,,
g08-c1-p0,scenario-08,train,ai_a_video,Service A,video,1,good,planned,,,,60,real,,,
g05-c5-p2,scenario-05,train,conventional_video,Conventional,video,0,lossy,planned,,,,60,real,,,
g02-c4-p0,scenario-02,train,conventional_voice,Conventional,voice,0,good,planned,,,,60,real,,,
g04-c0-p1,scenario-04,train,ai_a_voice,Service A,voice,1,constrained,planned,,,,60,real,,,
g05-c4-p0,scenario-05,train,conventional_voice,Conventional,voice,0,good,planned,,,,60,real,,,
g01-c1-p1,scenario-01,train,ai_a_video,Service A,video,1,constrained,planned,,,,60,real,,,
g04-c4-p1,scenario-04,train,conventional_voice,Conventional,voice,0,constrained,planned,,,,60,real,,,
g09-c2-p2,scenario-09,train,ai_b_voice,Service B,voice,1,lossy,planned,,,,60,real,,,
g09-c1-p2,scenario-09,train,ai_a_video,Service A,video,1,lossy,planned,,,,60,real,,,
g07-c4-p0,scenario-07,train,conventional_voice,Conventional,voice,0,good,planned,,,,60,real,,,
g05-c1-p2,scenario-05,train,ai_a_video,Service A,video,1,lossy,planned,,,,60,real,,,
g09-c4-p1,scenario-09,train,conventional_voice,Conventional,voice,0,constrained,planned,,,,60,real,,,
g10-c0-p1,scenario-10,train,ai_a_voice,Service A,voice,1,constrained,planned,,,,60,real,,,
g05-c1-p0,scenario-05,train,ai_a_video,Service A,video,1,good,planned,,,,60,real,,,
g05-c0-p2,scenario-05,train,ai_a_voice,Service A,voice,1,lossy,planned,,,,60,real,,,
g04-c3-p1,scenario-04,train,ai_b_video,Service B,video,1,constrained,planned,,,,60,real,,,
g06-c2-p2,scenario-06,train,ai_b_voice,Service B,voice,1,lossy,planned,,,,60,real,,,
g11-c4-p0,scenario-11,train,conventional_voice,Conventional,voice,0,good,planned,,,,60,real,,,
g07-c3-p2,scenario-07,train,ai_b_video,Service B,video,1,lossy,planned,,,,60,real,,,
g02-c4-p2,scenario-02,train,conventional_voice,Conventional,voice,0,lossy,planned,,,,60,real,,,
g01-c5-p0,scenario-01,train,conventional_video,Conventional,video,0,good,planned,,,,60,real,,,
g07-c5-p1,scenario-07,train,conventional_video,Conventional,video,0,constrained,planned,,,,60,real,,,
g02-c1-p0,scenario-02,train,ai_a_video,Service A,video,1,good,planned,,,,60,real,,,
g11-c2-p1,scenario-11,train,ai_b_voice,Service B,voice,1,constrained,planned,,,,60,real,,,
g00-c2-p1,scenario-00,train,ai_b_voice,Service B,voice,1,constrained,planned,,,,60,real,,,
g06-c1-p0,scenario-06,train,ai_a_video,Service A,video,1,good,planned,,,,60,real,,,
g11-c1-p0,scenario-11,train,ai_a_video,Service A,video,1,good,planned,,,,60,real,,,
g09-c4-p2,scenario-09,train,conventional_voice,Conventional,voice,0,lossy,planned,,,,60,real,,,
g01-c3-p1,scenario-01,train,ai_b_video,Service B,video,1,constrained,planned,,,,60,real,,,
g02-c1-p1,scenario-02,train,ai_a_video,Service A,video,1,constrained,planned,,,,60,real,,,
g01-c2-p0,scenario-01,train,ai_b_voice,Service B,voice,1,good,planned,,,,60,real,,,
g09-c1-p1,scenario-09,train,ai_a_video,Service A,video,1,constrained,planned,,,,60,real,,,
g03-c1-p2,scenario-03,train,ai_a_video,Service A,video,1,lossy,planned,,,,60,real,,,
g09-c1-p0,scenario-09,train,ai_a_video,Service A,video,1,good,planned,,,,60,real,,,
g04-c3-p2,scenario-04,train,ai_b_video,Service B,video,1,lossy,planned,,,,60,real,,,
g00-c5-p1,scenario-00,train,conventional_video,Conventional,video,0,constrained,planned,,,,60,real,,,
g03-c0-p0,scenario-03,train,ai_a_voice,Service A,voice,1,good,planned,,,,60,real,,,
g09-c4-p0,scenario-09,train,conventional_voice,Conventional,voice,0,good,planned,,,,60,real,,,
g06-c5-p1,scenario-06,train,conventional_video,Conventional,video,0,constrained,planned,,,,60,real,,,
g00-c1-p2,scenario-00,train,ai_a_video,Service A,video,1,lossy,planned,,,,60,real,,,
g03-c0-p2,scenario-03,train,ai_a_voice,Service A,voice,1,lossy,planned,,,,60,real,,,
g01-c5-p2,scenario-01,train,conventional_video,Conventional,video,0,lossy,planned,,,,60,real,,,
g01-c4-p0,scenario-01,train,conventional_voice,Conventional,voice,0,good,planned,,,,60,real,,,
g06-c0-p2,scenario-06,train,ai_a_voice,Service A,voice,1,lossy,planned,,,,60,real,,,
g04-c2-p1,scenario-04,train,ai_b_voice,Service B,voice,1,constrained,planned,,,,60,real,,,
g03-c2-p1,scenario-03,train,ai_b_voice,Service B,voice,1,constrained,planned,,,,60,real,,,
g02-c3-p2,scenario-02,train,ai_b_video,Service B,video,1,lossy,planned,,,,60,real,,,
g03-c2-p0,scenario-03,train,ai_b_voice,Service B,voice,1,good,planned,,,,60,real,,,
g02-c4-p1,scenario-02,train,conventional_voice,Conventional,voice,0,constrained,planned,,,,60,real,,,
g00-c3-p2,scenario-00,train,ai_b_video,Service B,video,1,lossy,planned,,,,60,real,,,
g08-c4-p2,scenario-08,train,conventional_voice,Conventional,voice,0,lossy,planned,,,,60,real,,,
g09-c3-p0,scenario-09,train,ai_b_video,Service B,video,1,good,planned,,,,60,real,,,
g11-c3-p1,scenario-11,train,ai_b_video,Service B,video,1,constrained,planned,,,,60,real,,,
g05-c0-p1,scenario-05,train,ai_a_voice,Service A,voice,1,constrained,planned,,,,60,real,,,
g00-c4-p1,scenario-00,train,conventional_voice,Conventional,voice,0,constrained,planned,,,,60,real,,,
g11-c0-p2,scenario-11,train,ai_a_voice,Service A,voice,1,lossy,planned,,,,60,real,,,
g07-c0-p1,scenario-07,train,ai_a_voice,Service A,voice,1,constrained,planned,,,,60,real,,,
g13-c1-p1,scenario-13,validation,ai_a_video,Service A,video,1,constrained,planned,,,,60,real,,,
g14-c1-p2,scenario-14,validation,ai_a_video,Service A,video,1,lossy,planned,,,,60,real,,,
g12-c3-p2,scenario-12,validation,ai_b_video,Service B,video,1,lossy,planned,,,,60,real,,,
g12-c5-p2,scenario-12,validation,conventional_video,Conventional,video,0,lossy,planned,,,,60,real,,,
g13-c1-p2,scenario-13,validation,ai_a_video,Service A,video,1,lossy,planned,,,,60,real,,,
g12-c5-p1,scenario-12,validation,conventional_video,Conventional,video,0,constrained,planned,,,,60,real,,,
g15-c2-p2,scenario-15,validation,ai_b_voice,Service B,voice,1,lossy,planned,,,,60,real,,,
g14-c2-p0,scenario-14,validation,ai_b_voice,Service B,voice,1,good,planned,,,,60,real,,,
g13-c3-p2,scenario-13,validation,ai_b_video,Service B,video,1,lossy,planned,,,,60,real,,,
g13-c4-p0,scenario-13,validation,conventional_voice,Conventional,voice,0,good,planned,,,,60,real,,,
g13-c1-p0,scenario-13,validation,ai_a_video,Service A,video,1,good,planned,,,,60,real,,,
g15-c0-p0,scenario-15,validation,ai_a_voice,Service A,voice,1,good,planned,,,,60,real,,,
g13-c2-p2,scenario-13,validation,ai_b_voice,Service B,voice,1,lossy,planned,,,,60,real,,,
g15-c5-p2,scenario-15,validation,conventional_video,Conventional,video,0,lossy,planned,,,,60,real,,,
g13-c0-p1,scenario-13,validation,ai_a_voice,Service A,voice,1,constrained,planned,,,,60,real,,,
g15-c1-p0,scenario-15,validation,ai_a_video,Service A,video,1,good,planned,,,,60,real,,,
g14-c2-p1,scenario-14,validation,ai_b_voice,Service B,voice,1,constrained,planned,,,,60,real,,,
g12-c4-p0,scenario-12,validation,conventional_voice,Conventional,voice,0,good,planned,,,,60,real,,,
g14-c0-p0,scenario-14,validation,ai_a_voice,Service A,voice,1,good,planned,,,,60,real,,,
g15-c2-p0,scenario-15,validation,ai_b_voice,Service B,voice,1,good,planned,,,,60,real,,,
g15-c2-p1,scenario-15,validation,ai_b_voice,Service B,voice,1,constrained,planned,,,,60,real,,,
g13-c0-p2,scenario-13,validation,ai_a_voice,Service A,voice,1,lossy,planned,,,,60,real,,,
g13-c3-p1,scenario-13,validation,ai_b_video,Service B,video,1,constrained,planned,,,,60,real,,,
g14-c5-p0,scenario-14,validation,conventional_video,Conventional,video,0,good,planned,,,,60,real,,,
g14-c3-p2,scenario-14,validation,ai_b_video,Service B,video,1,lossy,planned,,,,60,real,,,
g15-c1-p1,scenario-15,validation,ai_a_video,Service A,video,1,constrained,planned,,,,60,real,,,
g14-c3-p1,scenario-14,validation,ai_b_video,Service B,video,1,constrained,planned,,,,60,real,,,
g14-c5-p1,scenario-14,validation,conventional_video,Conventional,video,0,constrained,planned,,,,60,real,,,
g12-c0-p0,scenario-12,validation,ai_a_voice,Service A,voice,1,good,planned,,,,60,real,,,
g15-c1-p2,scenario-15,validation,ai_a_video,Service A,video,1,lossy,planned,,,,60,real,,,
g13-c5-p2,scenario-13,validation,conventional_video,Conventional,video,0,lossy,planned,,,,60,real,,,
g15-c3-p2,scenario-15,validation,ai_b_video,Service B,video,1,lossy,planned,,,,60,real,,,
g14-c2-p2,scenario-14,validation,ai_b_voice,Service B,voice,1,lossy,planned,,,,60,real,,,
g14-c4-p0,scenario-14,validation,conventional_voice,Conventional,voice,0,good,planned,,,,60,real,,,
g12-c2-p1,scenario-12,validation,ai_b_voice,Service B,voice,1,constrained,planned,,,,60,real,,,
g12-c4-p2,scenario-12,validation,conventional_voice,Conventional,voice,0,lossy,planned,,,,60,real,,,
g13-c2-p0,scenario-13,validation,ai_b_voice,Service B,voice,1,good,planned,,,,60,real,,,
g12-c1-p2,scenario-12,validation,ai_a_video,Service A,video,1,lossy,planned,,,,60,real,,,
g12-c3-p1,scenario-12,validation,ai_b_video,Service B,video,1,constrained,planned,,,,60,real,,,
g12-c2-p2,scenario-12,validation,ai_b_voice,Service B,voice,1,lossy,planned,,,,60,real,,,
g14-c5-p2,scenario-14,validation,conventional_video,Conventional,video,0,lossy,planned,,,,60,real,,,
g15-c4-p0,scenario-15,validation,conventional_voice,Conventional,voice,0,good,planned,,,,60,real,,,
g15-c0-p2,scenario-15,validation,ai_a_voice,Service A,voice,1,lossy,planned,,,,60,real,,,
g15-c5-p1,scenario-15,validation,conventional_video,Conventional,video,0,constrained,planned,,,,60,real,,,
g15-c4-p1,scenario-15,validation,conventional_voice,Conventional,voice,0,constrained,planned,,,,60,real,,,
g12-c0-p2,scenario-12,validation,ai_a_voice,Service A,voice,1,lossy,planned,,,,60,real,,,
g13-c4-p1,scenario-13,validation,conventional_voice,Conventional,voice,0,constrained,planned,,,,60,real,,,
g14-c3-p0,scenario-14,validation,ai_b_video,Service B,video,1,good,planned,,,,60,real,,,
g13-c5-p1,scenario-13,validation,conventional_video,Conventional,video,0,constrained,planned,,,,60,real,,,
g14-c0-p2,scenario-14,validation,ai_a_voice,Service A,voice,1,lossy,planned,,,,60,real,,,
g12-c4-p1,scenario-12,validation,conventional_voice,Conventional,voice,0,constrained,planned,,,,60,real,,,
g14-c1-p1,scenario-14,validation,ai_a_video,Service A,video,1,constrained,planned,,,,60,real,,,
g12-c2-p0,scenario-12,validation,ai_b_voice,Service B,voice,1,good,planned,,,,60,real,,,
g12-c1-p0,scenario-12,validation,ai_a_video,Service A,video,1,good,planned,,,,60,real,,,
g13-c5-p0,scenario-13,validation,conventional_video,Conventional,video,0,good,planned,,,,60,real,,,
g15-c4-p2,scenario-15,validation,conventional_voice,Conventional,voice,0,lossy,planned,,,,60,real,,,
g15-c3-p1,scenario-15,validation,ai_b_video,Service B,video,1,constrained,planned,,,,60,real,,,
g12-c3-p0,scenario-12,validation,ai_b_video,Service B,video,1,good,planned,,,,60,real,,,
g14-c4-p2,scenario-14,validation,conventional_voice,Conventional,voice,0,lossy,planned,,,,60,real,,,
g15-c5-p0,scenario-15,validation,conventional_video,Conventional,video,0,good,planned,,,,60,real,,,
g14-c0-p1,scenario-14,validation,ai_a_voice,Service A,voice,1,constrained,planned,,,,60,real,,,
g12-c5-p0,scenario-12,validation,conventional_video,Conventional,video,0,good,planned,,,,60,real,,,
g12-c1-p1,scenario-12,validation,ai_a_video,Service A,video,1,constrained,planned,,,,60,real,,,
